"Code","ID","Meaning","Chinese Meaning","Abbreviation"
2,1,"stake, pole, perch, post","桩、杆、秆、竿、柱",""
2,2,"withy","柳条",""
2,3,"beacon tower","立标塔",""
2,4,"lattice beacon","格状立标",""
2,5,"pile beacon","大立标",""
2,6,"cairn","堆石标",""
2,7,"buoyant beacon","浮动立标",""
3,5,"high-rise building","高层建筑",""
3,6,"pyramid","角锥形",""
3,7,"cylindrical","圆柱形",""
3,8,"spherical","球形",""
3,9,"cubic","立方体形",""
4,1,"conical (nun, ogival)","锥形（纺锤形、尖顶式形）",""
4,2,"can (cylindrical)","罐形（圆柱形）",""
4,3,"spherical","球形",""
4,4,"pillar","标柱形",""
4,5,"spar (spindle)","椽子形",""
4,6,"barrel (tun)","圆桶形（大桶）",""
4,7,"super-buoy","超大型浮标",""
4,8,"ice buoy","冰区浮标",""
7,1,"military aeroplane airport","军用机场",""
7,2,"civil aeroplane airport","民用机场",""
7,3,"military heliport","军用直升机机场",""
7,4,"civil heliport","民用直升机机场",""
7,5,"glider airfield","滑翔机机场",""
7,6,"small planes airfield","小型飞机机场",""
7,8,"emergency airfield","应急机场",""
8,1,"unrestricted anchorage","无限制的锚地",""
8,2,"deep water anchorage","深水锚地",""
8,3,"tanker anchorage","油轮锚地",""
8,4,"explosives anchorage","易爆物锚地",""
8,5,"quarantine anchorage","检疫锚地",""
8,6,"sea-plane anchorage","海上飞机锚地",""
8,7,"small craft anchorage","小型船锚地",""
8,8,"small craft mooring area","小型船系泊区",""
8,9,"anchorage for periods up to 24 hours","当日锚地(24小时)",""
9,1,"fixed bridge","永固式桥",""
9,2,"opening bridge","敞空式桥",""
9,3,"swing bridge","平旋式桥",""
9,4,"lifting bridge","吊桥",""
9,5,"bascule bridge","开合桥",""
9,6,"pontoon bridge","浮桥",""
9,7,"draw bridge","牵引桥",""
9,8,"transporter bridge","传送带桥",""
9,9,"foot bridge","步行桥",""
9,10,"viaduct","高架桥",""
9,11,"aqueduct","水道桥",""
9,12,"suspension bridge","悬索桥",""
10,1,"urban area","市区",""
10,2,"settlement","住宅区",""
10,3,"village","村庄",""
10,4,"town","市镇",""
10,5,"city","都市",""
10,6,"holiday village","度假村",""
11,1,"power line","电力线",""
11,3,"transmission line","传输线",""
11,4,"telephone","电话线",""
11,5,"telegraph","电报线",""
11,6,"mooring cable/chain","系缆/链",""
12,1,"transportation","运输:用于航行作为运输系统的一部分的水道",""
12,2,"drainage","下水道:用于排放围绕地面过量水的水道",""
12,3,"irrigation","灌溉:用于灌溉目的的渠道",""
13,1,"north cardinal mark","北方位标",""
13,2,"east cardinal mark","东方位标",""
13,3,"south cardinal mark","南方位标",""
13,4,"west cardinal mark","西方位标",""
14,1,"custom","海关",""
15,1,"steep coast","陡坡海岸",""
15,2,"flat coast","平坦海岸",""
15,3,"sandy shore","沙滩海岸",""
15,4,"stony shore","坚硬海岸",""
15,5,"shingly shore","粗砾海岸",""
15,6,"glacier (seaward end)","冰川海岸(向海岸一端)",""
15,7,"mangrove","红树林",""
15,8,"marshy shore","沼泽海岸",""
15,9,"coral reef","珊瑚礁",""
15,10,"ice coast","冻结的海岸",""
16,1,"triangulation point","三角点",""
16,2,"observation spot","观测点",""
16,3,"fixed point","固定点",""
16,4,"bench-mark","基准点",""
16,5,"boundary mark","界标",""
16,6,"horizontal control, main station","水平控制,主测点",""
16,7,"horizontal control, secondary station","水平控制,副测点",""
17,1,"aerial cableway (telepheric)","架空缆索(电话的)",""
17,2,"belt conveyor","传送带",""
18,1,"coverage available","有效作用范围",""
18,2,"no coverage available","无有效作用范围",""
19,2,"container crane/gantry","集装箱起重机/门吊",""
19,3,"sheerlegs","人字起重架",""
19,4,"travelling crane","移动式起重机",""
19,5,"A-frame","“A”字框架",""
20,1,"weir","堰",""
20,2,"dam","坝",""
20,3,"flood barrage","防洪闸",""
21,1,"distance mark not physically installed","无实物距离标志",""
21,2,"visible mark, pole","杆形可视标志",""
21,3,"visible mark, board","板形可视标志",""
21,4,"visible mark, unknown shape","形状不定可视标志",""
22,1,"tidal","潮汐型",""
22,2,"non-tidal (wet dock)","非潮汐型(干坞)",""
23,2,"chemical waste dumping ground","化学品废物倾倒场",""
23,3,"nuclear waste dumping ground","核废物倾倒场",""
23,4,"explosives dumping ground","爆炸废物倾倒场",""
23,5,"spoil ground","抛泥场",""
23,6,"vessel dumping ground","船舶抛弃场",""
24,1,"fence","栅栏",""
24,3,"hedge","树篱",""
24,4,"wall","砖墙",""
25,1,"free-moving' ferry","自由轮渡",""
25,2,"cable ferry","缆渡",""
25,3,"ice ferry","冰渡",""
26,1,"fishing stake","鱼栅",""
26,2,"fish trap","渔网",""
26,3,"fish weir","渔梁",""
26,4,"tunny net","金枪鱼渔网",""
27,1,"explosive","爆响雾笛",""
27,2,"diaphone","低音雾笛",""
27,3,"siren","雾笛",""
27,4,"nautophone","电雾笛",""
27,5,"reed","舌簧笛",""
27,6,"tyfon","气笛",""
27,7,"bell","雾钟",""
27,8,"whistle","雾哨",""
27,9,"gong","雾锣",""
27,10,"horn","号角",""
28,1,"castle","城堡",""
28,2,"fort","堡垒",""
28,3,"battery","炮台",""
28,4,"blockhouse","碉堡",""
28,5,"Martello tower","马铁罗塔",""
29,2,"flood barrage gate","防洪闸",""
29,3,"caisson","坞门",""
29,4,"lock gate","闸门",""
29,5,"dyke gate","堤坝闸门",""
30,1,"RoRo-terminal","滚装码头",""
30,3,"ferry terminal","渡轮码头",""
30,4,"fishing harbour","渔港",""
30,5,"yacht harbour/marina","游艇码头/小船停泊区",""
30,6,"naval base","海军基地",""
30,7,"tanker terminal","油码头",""
30,8,"passenger terminal","客运码头",""
30,9,"shipyard","船厂",""
30,10,"container terminal","集装箱码厂",""
30,11,"bulk terminal","散货码头",""
31,1,"floating restaurant","水上饭店",""
31,2,"historic ship","历史古船",""
31,3,"museum","博物馆",""
31,4,"accommodation","膳宿供应",""
31,5,"floating breakwater","浮动防波堤",""
32,1,"fast ice","固定冰",""
32,5,"glacier","冰川",""
32,8,"polar ice","极地冰",""
33,1,"catenary anchor leg mooring (CALM)","悬链锚泊(CALM)",""
33,2,"single buoy mooring (SBM or SPM)","单浮筒系泊(SBMAK SPM)",""
34,1,"fen","沼地",""
34,2,"marsh","湿地",""
34,3,"moor/bog","泽地/泥沼地",""
34,4,"heathland","荒地",""
34,5,"mountain range","山脉区",""
34,6,"lowlands","低洼地",""
34,7,"canyon lands","峡谷地",""
34,8,"paddy field","稻田",""
34,9,"agricultural land","农业用地",""
34,10,"savanna/grassland","大草地/大草地",""
34,11,"parkland","公园",""
34,12,"swamp","沼泽地",""
34,13,"landslide","塌方",""
34,14,"lava flow","熔岩流",""
34,15,"salt pan","盐田",""
34,16,"moraine","冰堆石",""
34,17,"crater","火山口",""
34,18,"cave","岩洞",""
34,19,"rock column or pinnacle","岩石柱或尖峰",""
35,1,"cairn","堆石标",""
35,2,"cemetery","墓地",""
35,3,"chimney","烟囱",""
35,4,"dish aerial","盘形天线",""
35,5,"flagstaff (flagpole)","旗杆(旗竿)",""
35,6,"flare stack","废气燃烧烟道",""
35,7,"mast","桅杆",""
35,8,"windsock","风向标",""
35,9,"monument","纪念碑",""
35,10,"column (pillar)","圆柱(柱状物)",""
35,11,"memorial plaque","装饰纪念碑",""
35,12,"obelisk","方尖柱碑",""
35,13,"statue","雕像",""
35,14,"cross","十字架",""
35,15,"dome","圆顶",""
35,16,"radar scanner","雷达天线",""
35,17,"tower","塔",""
35,18,"windmill","风车",""
35,19,"windmotor","风力发动机",""
35,20,"spire/minaret","塔尖/伊斯兰教教寺",""
35,21,"large rock or boulder on land","陆地巨石",""
35,22,"large rock or boulder on land","陆地巨石",""
36,1,"port-hand lateral mark","左侧标",""
36,2,"starboard-hand lateral mark","右侧标",""
36,3,"preferred channel to starboard lateral mark","推荐航道左侧标",""
36,4,"preferred channel to port lateral mark","推荐航道右侧标",""
37,1,"Directional function.","指向灯",""
